 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000          -0.500           0.000           0.000          -0.500;
     1    0.009          -0.500           2.125           0.000          -0.500;
     2    0.018           3.219           8.031           4.000           3.219;
     3    0.027          10.094          17.719          11.844          10.094;
     4    0.035          20.688          30.688          23.406          20.688;
     5    0.044          34.688          47.313          38.531          34.688;
     6    0.053          52.375          67.531          57.094          52.375;
     7    0.062          73.250          91.156          78.750          73.250;
     8    0.071          98.344         118.094         104.531          98.344;
     9    0.080         126.875         148.313         133.969         126.875;
    10    0.089         161.750         182.156         168.500         161.750;
    11    0.097         200.219         219.594         206.438         200.219;
    12    0.106         242.906         261.000         248.906         242.906;
    13    0.115         288.219         305.594         294.000         288.219;
    14    0.124         335.000         353.313         341.406         335.000;
    15    0.133         383.844         403.750         390.969         383.844;
    16    0.142         434.531         457.063         442.750         434.531;
    17    0.151         489.563         513.000         498.063         489.563;
    18    0.159         549.063         571.906         556.969         549.063;
    19    0.168         613.625         634.406         621.000         613.625;
    20    0.177         681.031         700.000         687.938         681.031;
    21    0.186         749.469         768.969         757.000         749.469;
    22    0.195         819.406         841.313         828.156         819.406;
    23    0.204         892.250         916.031         901.563         892.250;
    24    0.213         970.344         993.313         979.469         970.344;
    25    0.221        1054.406        1073.719        1062.406        1054.406;
    26    0.230        1139.219        1157.250        1147.000        1139.219;
    27    0.239        1221.531        1243.563        1230.719        1221.531;
    28    0.248        1308.219        1332.625        1318.563        1308.219;
    29    0.257        1403.656        1424.688        1412.969        1403.656;
    30    0.266        1501.969        1519.594        1510.344        1501.969;
    31    0.274        1596.313        1617.625        1606.656        1596.313;
    32    0.283        1693.250        1718.719        1705.750        1693.250;
    33    0.292        1799.594        1822.438        1811.594        1799.594;
    34    0.301        1909.000        1928.500        1920.688        1909.000;
    35    0.310        2016.375        2037.469        2028.906        2016.375;
    36    0.319        2126.719        2149.063        2140.125        2126.719;
    37    0.328        2246.594        2263.469        2258.656        2246.594;
    38    0.336        2365.531        2381.031        2377.281        2365.531;
    39    0.345        2480.688        2501.594        2494.188        2480.688;
    40    0.354        2605.750        2625.000        2618.656        2605.750;
    41    0.363        2735.594        2751.344        2747.000        2735.594;
    42    0.372        2858.344        2881.094        2872.281        2858.344;
    43    0.381        2993.250        3014.094        3006.406        2993.250;
    44    0.390        3134.031        3150.656        3145.531        3134.031;
    45    0.398        3266.219        3290.000        3280.750        3266.219;
    46    0.407        3412.250        3432.844        3425.500        3412.250;
    47    0.416        3558.656        3578.688        3571.625        3558.656;
    48    0.425        3698.656        3727.344        3715.281        3698.656;
    49    0.434        3856.000        3879.250        3870.063        3856.000;
    50    0.443        4005.969        4034.375        4021.563        4005.969;
    51    0.452        4163.781        4191.656        4179.500        4163.781;
    52    0.460        4328.219        4352.406        4341.969        4328.219;
    53    0.469        4482.625        4515.219        4499.938        4482.625;
    54    0.478        4655.625        4681.000        4669.625        4655.625;
