 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000       10666.656           0.000           0.000           0.000;
     1    0.009       10666.656           5.969           1.531           0.000;
     2    0.018       10666.656          23.438          16.719          12.563;
     3    0.027       10666.656          57.969          48.438          42.594;
     4    0.035       10666.656         107.063          97.094          90.469;
     5    0.044       10666.656         169.531         159.313         152.594;
     6    0.053       10666.656         245.938         234.500         228.000;
     7    0.062       10666.656         333.500         320.000         312.281;
     8    0.071       10666.656         430.125         416.750         409.063;
     9    0.080       10666.656         534.250         520.188         513.281;
    10    0.089       10666.656         646.094         631.156         624.125;
    11    0.097       10666.656         765.063         747.750         739.500;
    12    0.106       10666.656         890.344         874.969         868.188;
    13    0.115       10666.656        1021.219        1004.938         998.188;
    14    0.124       10666.656        1157.594        1139.156        1130.813;
    15    0.133       10666.656        1298.594        1283.531        1276.938;
    16    0.142       10666.656        1443.594        1429.906        1423.125;
    17    0.151       10666.656        1592.656        1575.750        1566.406;
    18    0.159       10666.656        1744.531        1731.625        1724.750;
    19    0.168       10666.656        1898.531        1879.781        1867.719;
    20    0.177       10666.656        2054.125        2038.063        2027.969;
    21    0.186       10666.656        2210.625        2193.625        2181.750;
    22    0.195       10666.656        2368.094        2346.813        2332.219;
    23    0.204       10666.656        2525.656        2510.313        2500.281;
    24    0.213       10666.656        2684.031        2661.906        2646.719;
    25    0.221       10666.656        2841.844        2822.563        2810.219;
    26    0.230       10666.656        2999.281        2980.375        2968.125;
    27    0.239       10666.656        3155.750        3132.281        3116.563;
    28    0.248       10666.656        3311.969        3292.500        3281.031;
    29    0.257       10666.656        3466.750        3442.813        3427.656;
    30    0.266       10666.656        3620.094        3596.344        3581.000;
    31    0.274       10666.656        3771.906        3752.750        3739.813;
    32    0.283       10666.656        3922.688        3896.688        3878.281;
    33    0.292       10666.656        4072.438        4051.531        4037.094;
    34    0.301       10666.656        4220.938        4196.625        4180.531;
    35    0.310       10666.656        4367.813        4339.594        4321.781;
    36    0.319       10666.656        4513.031        4489.938        4476.750;
    37    0.328       10666.656        4656.844        4628.844        4611.375;
    38    0.336       10666.656        4798.281        4771.094        4753.375;
    39    0.345       10666.656        4938.531        4914.938        4899.281;
    40    0.354       10666.656        5076.469        5047.969        5028.594;
    41    0.363       10666.656        5212.000        5184.094        5164.906;
    42    0.372       10666.656        5345.500        5320.531        5303.063;
    43    0.381       10666.656        5476.719        5446.875        5425.813;
    44    0.390       10666.656        5604.969        5577.406        5559.219;
    45    0.398       10666.656        5730.344        5706.094        5689.656;
    46    0.407       10666.656        5854.031        5827.344        5808.313;
    47    0.416       10666.656        5975.719        5948.438        5928.563;
    48    0.425       10666.656        6094.813        6069.156        6050.813;
    49    0.434       10666.656        6211.844        6183.813        6164.469;
    50    0.443       10666.656        6326.000        6295.469        6274.156;
    51    0.452       10666.656        6438.031        6409.531        6391.344;
    52    0.460       10666.656        6548.094        6520.688        6503.188;
    53    0.469       10666.656        6655.750        6626.594        6607.156;
    54    0.478       10666.656        6761.281        6731.719        6712.500;
    55    0.487       10666.656        6864.469        6837.344        6820.313;
    56    0.496       10666.656        6965.656        6938.688        6922.219;
    57    0.505       10666.656        7064.906        7034.906        7015.563;
    58    0.514       10666.656        7161.844        7133.594        7115.063;
    59    0.522       10666.656        7256.563        7229.531        7213.094;
    60    0.531       10666.656        7349.031        7322.375        7306.500;
    61    0.540       10666.656        7439.094        7409.313        7391.219;
    62    0.549       10666.656        7526.750        7497.625        7479.875;
    63    0.558       10666.656        7612.563        7583.750        7566.250;
    64    0.567       10666.656        7695.688        7670.031        7654.031;
    65    0.576       10666.656        7776.688        7748.125        7730.063;
    66    0.584       10666.656        7855.875        7827.281        7809.500;
    67    0.593       10666.656        7932.781        7904.281        7885.906;
    68    0.602       10666.656        8007.531        7980.219        7962.563;
    69    0.611       10666.656        8080.563        8055.938        8039.469;
    70    0.620       10666.656        8151.875        8126.281        8109.156;
    71    0.629       10666.656        8220.969        8194.594        8176.813;
    72    0.638       10666.656        8288.031        8260.969        8242.063;
    73    0.646       10666.656        8353.375        8327.031        8308.344;
    74    0.655       10666.656        8417.063        8391.844        8373.469;
    75    0.664       10666.656        8478.625        8454.875        8437.344;
    76    0.673       10666.656        8538.500        8513.563        8494.656;
    77    0.682       10666.656        8596.969        8571.188        8551.531;
    78    0.691       10666.656        8653.781        8627.313        8607.281;
    79    0.699       10666.656        8708.969        8682.031        8661.438;
    80    0.708       10666.656        8762.125        8736.031        8715.719;
    81    0.717       10666.656        8813.906        8789.281        8770.344;
    82    0.726       10666.656        8864.438        8840.875        8822.750;
    83    0.735       10666.656        8913.750        8889.875        8871.469;
    84    0.744       10666.656        8961.875        8937.250        8918.281;
    85    0.753       10666.656        9008.594        8983.281        8963.781;
    86    0.761       10666.656        9053.688        9028.125        9008.469;
    87    0.770       10666.656        9097.875        9072.281        9052.406;
    88    0.779       10666.656        9141.063        9115.563        9095.656;
    89    0.788       10666.656        9183.188        9158.125        9138.844;
    90    0.797       10666.656        9224.156        9200.000        9181.563;
    91    0.806       10666.656        9263.781        9239.844        9221.563;
    92    0.815       10666.656        9301.906        9277.281        9258.625;
    93    0.823       10666.656        9339.188        9314.281        9295.281;
    94    0.832       10666.656        9375.500        9350.438        9330.938;
    95    0.841       10666.656        9410.625        9385.344        9365.750;
    96    0.850       10666.656        9444.969        9419.500        9399.844;
