 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000       10666.656           0.000           0.000           0.000;
     1    0.009       10666.656           1.563           0.000           0.000;
     2    0.018       10666.656          12.406           7.969           5.344;
     3    0.027       10666.656          30.469          25.125          21.688;
     4    0.035       10666.656          56.156          50.156          45.594;
     5    0.044       10666.656          90.219          83.031          77.906;
     6    0.053       10666.656         131.875         123.125         117.531;
     7    0.062       10666.656         180.906         171.313         165.781;
     8    0.071       10666.656         237.531         227.375         221.375;
     9    0.080       10666.656         302.250         291.750         285.531;
    10    0.089       10666.656         374.656         364.438         357.906;
    11    0.097       10666.656         455.531         443.563         436.156;
    12    0.106       10666.656         544.219         531.156         523.563;
    13    0.115       10666.656         639.281         626.375         618.844;
    14    0.124       10666.656         741.719         728.688         721.594;
    15    0.133       10666.656         852.031         838.188         831.438;
    16    0.142       10666.656         970.063         953.719         945.781;
    17    0.151       10666.656        1093.844        1078.875        1072.344;
    18    0.159       10666.656        1223.438        1207.875        1200.781;
    19    0.168       10666.656        1360.000        1341.938        1333.563;
    20    0.177       10666.656        1503.063        1486.563        1479.938;
    21    0.186       10666.656        1651.969        1634.219        1626.750;
    22    0.195       10666.656        1808.031        1788.688        1780.000;
    23    0.204       10666.656        1969.875        1957.375        1951.156;
    24    0.213       10666.656        2139.219        2120.313        2111.063;
    25    0.221       10666.656        2314.344        2298.656        2291.281;
    26    0.230       10666.656        2495.219        2476.281        2464.156;
    27    0.239       10666.656        2681.406        2662.063        2649.656;
    28    0.248       10666.656        2872.625        2854.344        2841.375;
    29    0.257       10666.656        3068.594        3045.000        3030.094;
    30    0.266       10666.656        3269.750        3252.750        3241.094;
    31    0.274       10666.656        3475.125        3448.250        3432.531;
    32    0.283       10666.656        3685.000        3668.281        3657.781;
    33    0.292       10666.656        3899.344        3869.844        3853.344;
    34    0.301       10666.656        4117.094        4097.594        4085.063;
    35    0.310       10666.656        4338.281        4309.406        4292.219;
    36    0.319       10666.656        4563.250        4541.156        4526.031;
    37    0.328       10666.656        4792.625        4764.969        4747.531;
    38    0.336       10666.656        5024.844        4995.969        4979.063;
    39    0.345       10666.656        5260.656        5234.031        5217.125;
    40    0.354       10666.656        5498.781        5466.656        5447.188;
    41    0.363       10666.656        5739.531        5711.656        5694.313;
    42    0.372       10666.656        5982.750        5949.813        5929.094;
    43    0.381       10666.656        6227.281        6196.406        6177.563;
    44    0.390       10666.656        6473.438        6445.375        6426.156;
    45    0.398       10666.656        6721.938        6688.531        6667.094;
    46    0.407       10666.656        6971.219        6938.844        6918.406;
    47    0.416       10666.656        7222.500        7190.125        7170.375;
    48    0.425       10666.656        7474.375        7441.844        7422.781;
    49    0.434       10666.656        7727.594        7695.625        7675.281;
    50    0.443       10666.656        7982.438        7951.344        7933.969;
    51    0.452       10666.656        8236.906        8202.063        8181.906;
    52    0.460       10666.656        8491.219        8461.656        8443.813;
    53    0.469       10666.656        8746.344        8714.375        8694.594;
    54    0.478       10666.656        9002.125        8971.000        8949.969;
    55    0.487       10666.656        9257.219        9226.688        9204.688;
    56    0.496       10666.656        9510.594        9477.188        9455.250;
    57    0.505       10666.656        9763.563        9732.656        9711.406;
    58    0.514       10666.656       10015.813        9984.688        9961.531;
    59    0.522       10666.656       10267.031       10235.938       10213.563;
    60    0.531       10666.656       10517.563       10490.000       10470.063;
    61    0.540       10666.656       10766.438       10735.844       10714.781;
    62    0.549       10666.656       11013.438       10987.969       10968.313;
    63    0.558       10666.656       11259.375       11232.938       11210.406;
    64    0.567       10666.656       11503.375       11474.125       11451.406;
    65    0.576       10666.656       11745.938       11719.031       11698.281;
    66    0.584       10666.656       11986.094       11958.344       11935.938;
    67    0.593       10666.656       12223.594       12196.156       12174.969;
    68    0.602       10666.656       12458.656       12434.594       12415.844;
    69    0.611       10666.656       12691.188       12660.500       12640.406;
    70    0.620       10666.656       12921.844       12897.719       12880.719;
    71    0.629       10666.656       13150.156       13122.844       13103.813;
    72    0.638       10666.656       13374.469       13351.344       13335.094;
    73    0.646       10666.656       13596.125       13573.250       13555.688;
    74    0.655       10666.656       13813.875       13789.250       13772.094;
    75    0.664       10666.656       14027.906       14006.500       13991.406;
    76    0.673       10666.656       14238.188       14214.719       14197.844;
    77    0.682       10666.656       14445.594       14427.094       14413.375;
    78    0.691       10666.656       14646.156       14623.406       14606.406;
    79    0.699       10666.656       14844.125       14832.031       14819.438;
    80    0.708       10666.656       15037.500       15014.938       14995.500;
    81    0.717       10666.656       15227.031       15217.438       15203.969;
    82    0.726       10666.656       15411.938       15392.000       15372.344;
    83    0.735       10666.656       15592.188       15583.000       15568.625;
    84    0.744       10666.656       15767.813       15752.188       15733.969;
    85    0.753       10666.656       15938.469       15926.844       15910.156;
    86    0.761       10666.656       16103.156       16091.688       16075.219;
    87    0.770       10666.656       16263.344       16245.688       16224.906;
    88    0.779       10666.656       16418.094       16413.375       16399.844;
    89    0.788       10666.656       16566.969       16544.875       16520.906;
    90    0.797       10666.656       16710.281       16704.563       16690.031;
    91    0.806       10666.656       16847.000       16833.281       16812.188;
    92    0.815       10666.656       16977.250       16966.469       16946.688;
    93    0.823       10666.656       17102.063       17095.719       17077.875;
    94    0.832       10666.656       17221.563       17212.688       17192.875;
    95    0.841       10666.656       17334.375       17325.344       17305.531;
    96    0.850       10666.656       17441.000       17432.469       17412.625;
