 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000           0.000           0.000           0.000           0.000;
     1    0.009          26.313           0.000           0.000           0.000;
     2    0.018          61.750           1.844           0.000           1.000;
     3    0.027          97.156          10.219           6.656           5.844;
     4    0.035         132.563          21.906          17.031          15.250;
     5    0.044         168.000          36.906          31.281          28.563;
     6    0.053         203.406          55.219          48.594          45.281;
     7    0.062         238.813          75.688          68.375          64.719;
     8    0.071         274.250          97.813          90.563          86.781;
     9    0.080         309.656         121.313         114.750         111.406;
    10    0.089         345.063         146.156         139.156         135.781;
    11    0.097         380.500         171.938         165.125         162.188;
    12    0.106         415.906         198.625         191.438         187.938;
    13    0.115         451.313         225.875         218.375         215.094;
    14    0.124         486.750         253.531         245.750         242.469;
    15    0.133         522.156         281.438         273.750         270.594;
    16    0.142         557.563         309.563         301.781         298.688;
    17    0.151         593.000         337.594         329.688         326.625;
    18    0.159         628.406         365.750         357.563         354.406;
    19    0.168         663.813         393.813         385.219         381.688;
    20    0.177         699.250         421.688         413.000         409.438;
    21    0.186         734.656         449.406         440.469         436.250;
    22    0.195         770.063         477.063         468.094         464.000;
    23    0.204         805.500         504.813         495.625         491.063;
    24    0.213         840.906         532.719         523.500         519.156;
    25    0.221         876.313         560.875         551.656         547.188;
    26    0.230         911.750         589.094         579.688         575.656;
    27    0.239         947.156         617.375         607.969         604.125;
    28    0.248         982.563         645.656         635.969         632.719;
    29    0.257        1018.000         673.813         664.344         661.188;
    30    0.266        1053.406         701.969         692.250         689.344;
    31    0.274        1088.813         730.125         720.594         717.531;
    32    0.283        1124.250         758.469         748.625         745.406;
    33    0.292        1159.656         786.906         776.563         772.656;
    34    0.301        1195.063         815.250         804.719         800.625;
    35    0.310        1230.500         843.531         832.938         828.375;
    36    0.319        1265.906         871.531         860.531         855.781;
    37    0.328        1301.313         899.313         888.188         883.094;
    38    0.336        1336.750         926.719         915.688         910.688;
    39    0.345        1372.156         954.188         943.438         938.469;
    40    0.354        1407.563         981.750         970.875         966.031;
    41    0.363        1443.000        1009.625         998.406         993.563;
    42    0.372        1478.406        1037.906        1026.688        1022.094;
    43    0.381        1513.813        1066.469        1055.188        1050.531;
    44    0.390        1549.250        1095.156        1083.625        1079.250;
    45    0.398        1584.656        1123.969        1112.219        1107.719;
    46    0.407        1620.063        1152.656        1140.813        1136.688;
    47    0.416        1655.500        1181.250        1168.844        1163.813;
    48    0.425        1690.906        1209.906        1197.188        1191.938;
    49    0.434        1726.313        1238.469        1225.563        1219.813;
    50    0.443        1761.750        1267.031        1253.719        1247.531;
    51    0.452        1797.156        1295.656        1282.406        1276.094;
    52    0.460        1832.563        1324.313        1311.469        1305.031;
    53    0.469        1868.000        1353.031        1339.875        1333.531;
    54    0.478        1903.406        1381.781        1368.906        1362.500;
    55    0.487        1938.813        1410.594        1397.969        1391.719;
    56    0.496        1974.250        1439.406        1426.844        1420.813;
    57    0.505        2009.656        1468.125        1455.969        1450.031;
    58    0.514        2045.063        1496.938        1485.406        1479.531;
    59    0.522        2080.500        1526.156        1514.531        1508.125;
    60    0.531        2115.906        1555.594        1544.031        1537.375;
    61    0.540        2151.313        1585.438        1573.406        1566.125;
    62    0.549        2186.750        1615.500        1603.063        1595.125;
    63    0.558        2222.156        1645.750        1633.156        1625.094;
    64    0.567        2257.563        1675.906        1663.125        1654.188;
    65    0.576        2293.000        1706.000        1692.969        1683.750;
    66    0.584        2328.406        1735.844        1722.719        1713.531;
    67    0.593        2363.813        1765.563        1752.656        1743.406;
    68    0.602        2399.250        1795.281        1783.125        1774.156;
    69    0.611        2434.656        1824.969        1812.656        1803.781;
    70    0.620        2470.063        1854.750        1842.781        1834.406;
    71    0.629        2505.500        1884.625        1872.625        1864.250;
    72    0.638        2540.906        1914.813        1903.063        1894.719;
    73    0.646        2576.313        1944.969        1932.219        1923.500;
    74    0.655        2611.750        1975.250        1962.000        1953.313;
    75    0.664        2647.156        2005.594        1991.469        1981.938;
    76    0.673        2682.563        2035.844        2021.375        2011.594;
    77    0.682        2718.000        2066.313        2051.563        2041.625;
    78    0.691        2753.406        2096.781        2081.719        2071.594;
    79    0.699        2788.813        2127.375        2112.313        2102.438;
    80    0.708        2824.250        2157.938        2142.625        2132.844;
    81    0.717        2859.656        2188.156        2173.281        2164.063;
    82    0.726        2895.063        2218.250        2203.438        2194.469;
    83    0.735        2930.500        2247.969        2233.531        2224.938;
    84    0.744        2965.906        2277.375        2263.406        2254.813;
    85    0.753        3001.313        2306.750        2292.500        2284.125;
    86    0.761        3036.750        2336.063        2321.688        2312.969;
    87    0.770        3072.156        2365.781        2350.844        2341.313;
    88    0.779        3107.563        2395.625        2380.344        2370.469;
    89    0.788        3143.000        2425.625        2409.719        2399.156;
    90    0.797        3178.406        2455.563        2439.563        2428.563;
    91    0.806        3213.813        2485.406        2468.938        2458.031;
    92    0.815        3249.250        2515.281        2498.719        2487.594;
    93    0.823        3284.656        2544.781        2528.406        2517.156;
    94    0.832        3320.063        2574.469        2558.156        2547.031;
    95    0.841        3355.500        2604.063        2588.219        2577.406;
    96    0.850        3390.906        2633.875        2618.406        2607.531;
    97    0.859        3426.313        2663.875        2649.063        2638.563;
    98    0.868        3461.750        2693.813        2679.250        2668.781;
    99    0.877        3497.156        2723.438        2708.438        2697.938;
   100    0.885        3532.563        2752.750        2737.219        2726.094;
   101    0.894        3568.000        2781.813        2766.031        2754.469;
   102    0.903        3603.406        2810.625        2794.156        2782.250;
   103    0.912        3638.813        2839.375        2822.531        2810.250;
   104    0.921        3674.250        2868.063        2850.656        2838.125;
   105    0.930        3709.656        2897.125        2879.344        2866.469;
   106    0.939        3745.063        2926.313        2907.906        2895.125;
   107    0.947        3780.500        2955.406        2936.938        2924.281;
   108    0.956        3815.906        2984.438        2966.500        2954.188;
   109    0.965        3851.313        3013.219        2995.656        2983.563;
   110    0.974        3886.750        3042.000        3024.875        3013.000;
   111    0.983        3922.156        3070.500        3053.625        3041.906;
   112    0.992        3957.563        3098.969        3082.156        3070.469;
   113    1.001        3993.000        3127.344        3110.156        3097.906;
   114    1.009        4028.406        3155.594        3137.719        3124.844;
   115    1.018        4063.813        3183.906        3165.656        3152.125;
   116    1.027        4099.250        3212.219        3193.750        3180.000;
   117    1.036        4134.656        3240.625        3221.656        3207.344;
   118    1.045        4170.063        3268.969        3250.188        3236.000;
   119    1.054        4205.500        3297.313        3278.344        3264.000;
   120    1.063        4240.906        3325.594        3306.750        3292.750;
   121    1.071        4276.313        3353.719        3335.156        3321.188;
   122    1.080        4311.750        3382.000        3363.688        3350.219;
   123    1.089        4347.156        3410.375        3392.625        3379.313;
   124    1.098        4382.563        3438.875        3422.094        3409.438;
   125    1.107        4418.000        3467.469        3451.063        3438.625;
   126    1.116        4453.406        3496.188        3480.094        3467.563;
   127    1.124        4488.813        3524.719        3508.938        3496.688;
   128    1.133        4524.250        3553.125        3537.031        3524.156;
   129    1.142        4559.656        3581.281        3564.969        3551.844;
   130    1.151        4595.063        3609.156        3592.656        3579.313;
   131    1.160        4630.500        3636.906        3620.156        3606.469;
   132    1.169        4665.906        3664.969        3647.781        3633.625;
   133    1.178        4701.313        3693.281        3676.000        3661.719;
   134    1.186        4736.750        3721.969        3704.375        3689.594;
   135    1.195        4772.156        3750.844        3733.125        3718.469;
   136    1.204        4807.563        3779.719        3762.000        3747.156;
   137    1.213        4843.000        3808.656        3791.438        3776.781;
   138    1.222        4878.406        3837.563        3820.594        3806.375;
   139    1.231        4913.813        3866.281        3849.719        3835.719;
   140    1.240        4949.250        3894.938        3878.281        3863.969;
   141    1.248        4984.656        3923.563        3906.500        3891.688;
   142    1.257        5020.063        3952.438        3935.063        3919.781;
   143    1.266        5055.500        3981.281        3963.219        3947.813;
   144    1.275        5090.906        4010.250        3991.688        3976.125;
   145    1.284        5126.313        4038.938        4019.938        4004.094;
   146    1.293        5161.750        4067.531        4048.313        4032.031;
   147    1.302        5197.156        4096.063        4076.313        4059.938;
